Code,Company
4DX,4DMedical
AGL,AGL Energy
AIZ,Air New Zealand
AAI,Alcoa Corporation
ALK,Alkane Resources
ALQ,ALS
AMC,Amcor Plc
AOV,Amotiv
AMP,AMP
ALD,Ampol
ANN,Ansell
ANZ,ANZ Group Holdings
APA,APA Group
ARU,Arafura Rare Earths
ARB,ARB Corporation
ARF,Arena REIT
ARG,Argo Investments
ALL,Aristocrat Leisure
APZ,Aspen Group
ASX,ASX
ALX,Atlas Arteria
AUB,AUB Group
AIA,Auckland International Airport
AZJ,Aurizon Holdings
ABB,Aussie Broadband
ASB,Austal
AFI,Australian Foundation Investment Company
AUI,Australian United Investment Company
BOQ,Bank of Queensland
BCI,BCI Minerals
BPT,Beach Energy
BGA,Bega Cheese
BGL,Bellevue Gold
BEN,Bendigo and Adelaide Bank
BNZ,Benz Mining Corp
BHP,BHP Group
BKI,BKI Investment Company
XYZ,Block Inc.
BSL,BlueScope Steel
BXB,Brambles
BVS,Bravura Solutions
BRE,Brazilian Rare Earths
BRG,Breville Group
BFL,BSP Financial Group
BWP,BWP Trust
CMM,Capricorn Metals
CSC,Capstone Copper Corp.
CAR,CAR Group
CIN,Carlton Investments
CYL,Catalyst Metals
CAT,Catapult Sports
CNI,Centuria Capital Group
CIP,Centuria Industrial REIT
CGF,Challenger
CIA,Champion Iron
CHI,Channel Infrastructure NZ
CHC,Charter Hall Group
CLW,Charter Hall Long Wale REIT
CQR,Charter Hall Retail REIT
CQE,Charter Hall Social Infrastructure REIT
CNU,Chorus
CVL,Civmec
CU6,Clarity Pharmaceuticals
CWY,Cleanaway Waste Management
CBO,Cobram Estate Olives
COH,Cochlear
CDA,Codan
COL,Coles Group
CKF,Collins Foods
CBA,Commonwealth Bank of Australia
CPU,Computershare
CEN,Contact Energy
CXO,Core Lithium
CTD,Corporate Travel Management
CMW,Cromwell Property Group
CSL,CSL
CCL,Cuscal
DBI,Dalrymple Bay Infrastructure
DTL,Data3
DYL,Deep Yellow
DRR,Deterra Royalties
DVP,Develop Global
DXS,Dexus
DDR,Dicker Data
DGT,Digico Infrastructure REIT
DMP,Domino's Pizza Enterprises
DOW,Downer EDI
DPM,DPM Metals Inc.
DRO,DroneShield
DNL,Dyno Nobel
APE,Eagers Automotive
EBO,EBOS Group
EIQ,Echo IQ
ELD,Elders
EOS,Electro Optic Systems Holdings
ELV,Elevra Lithium
ELS,Elsight
EMR,Emerald Resources NL
EDV,Endeavour Group
EQR,EQ Resources
EVN,Evolution Mining
EVT,EVT
FDC,FDC Consolidated Holdings
FFM,FireFly Metals
FPH,Fisher & Paykel Healthcare Corporation
FBU,Fletcher Building
FLT,Flight Centre Travel Group
FMG,Fortescue
FRW,Freightways Group
GLF,Gemlife Communities Group
GDG,Generation Development Group
GNE,Genesis Energy
GMD,Genesis Minerals
GNP,GenusPlus Group
GMG,Goodman Group
GPT,GPT Group
GQG,GQG Partners Inc.
GNG,GR Engineering Services
GNC,Graincorp
GGP,Greatland Resources
G6M,Group 6 Metals
GOZ,Growthpoint Properties Australia
GCI,Gryphon Capital Income Trust
GYG,Guzman Y Gomez
HVN,Harvey Norman Holdings
HGH,Heartland Group Holdings
HLI,Helia Group
HMC,HMC Capital
HDN,HomeCo Daily Needs REIT
HUB,HUB24
IGO,IGO
ILU,Iluka Resources
IMD,Imdex
IFT,Infratil
INA,Ingenia Communities Group
IAG,Insurance Australia Group
IPX,IperionX
IPH,IPH
IRE,IRESS
JHX,James Hardie Industries Plc
JBH,JB Hi-Fi
JDO,Judo Capital Holdings
KAR,Karoon Energy
KLS,Kelsian Group
KCN,Kingsgate Consolidated
GLS,L1 Global Long Short Fund
LGF,L1 Gold Fund
L1G,L1 Group
LSF,L1 Long Short Fund
LFS,Latitude Group Holdings
LLC,LendLease Group
LFG,Liberty Financial Group
360,Life360 Inc
LNW,Light & Wonder Inc.
LIN,Lindian Resources
LTR,Liontown
LOV,Lovisa Holdings
LYC,Lynas Rare Earths
MAF,MA Financial Group
MGH,MAAS Group Holdings
MAH,Macmahon Holdings
MQG,Macquarie Group
MAQ,Macquarie Technology Group
MAD,Mader Group
MFG,Magellan Financial Group
MMS,McMillan Shakespeare
MPL,Medibank Private
MP1,Megaport
MCY,Mercury NZ
MEZ,Meridian Energy
MSB,Mesoblast
MLX,Metals X
MTS,Metcash
MXT,Metrics Master Income Trust
MFF,MFF Capital Investments
MIN,Mineral Resources
MI6,Minerals 260
MGR,Mirvac Group
MND,Monadelphous Group
NAN,Nanosonics
NAB,National Australia Bank
NGI,Navigator Global Investments
NWL,Netwealth Group
NEU,Neuren Pharmaceuticals
NHC,New Hope Corporation
NEM,Newmont Corporation
NWS,News Corporation
NXG,NexGen Energy (Canada)
NXT,NEXTDC
NHF,NIB Holdings
NCK,Nick Scali
NIC,Nickel Industries
NEC,Nine Entertainment Co. Holdings
NST,Northern Star Resources
NWH,NRW Holdings
NUF,Nufarm
OBM,Ora Banda Mining
ORI,Orica
ORG,Origin Energy
ORA,Orora
PDN,Paladin Energy
PNR,Pantoro Gold
PRN,Perenti
PPT,Perpetual
PRU,Perseus Mining
PXA,PEXA Group
PNI,Pinnacle Investment Management Group
PL8,Plato Income Maximiser
PLS,PLS Group
PGF,PM Capital Global Opportunities Fund
PDI,Predictive Discovery
PMV,Premier Investments
PME,Pro Medicus
PWH,PWR Holdings
PYC,PYC Therapeutics
QAN,Qantas Airways
QBE,QBE Insurance Group
QAL,Qualitas
QRI,Qualitas Real Estate Income Fund
RMS,Ramelius Resources
RHC,Ramsay Health Care
REA,REA Group
RDX,Redox
REH,Reece
RPL,Regal Partners
RGN,Region Group
REG,Regis Healthcare
RRL,Regis Resources
RWC,Reliance Worldwide Corporation
RMD,ResMed Inc.
RSG,Resolute Mining
SGLLV,Ricegrowers
RIC,Ridley Corporation
RIO,Rio Tinto
RYM,Ryman Healthcare
SFR,Sandfire Resources
STO,Santos
SCG,Scentre Group
SEK,SEEK
SSM,Service Stream
SGH,SGH
SIG,Sigma Healthcare
SLX,Silex Systems
SGM,Sims
SDR,SiteMinder
SKS,SKS Technologies Group
SIQ,Smartgroup Corporation
SHL,Sonic Healthcare
S32,South32
SXE,Southern Cross Electrical Engineering
SX2,Southern Cross Gold Consolidated
SPK,Spark New Zealand
SRG,SRG Global
SMR,Stanmore Resources
SDF,Steadfast Group
SGP,Stockland
SKG,Storage King Group
SNZ,Summerset Group Holdings
SUN,Suncorp Group
SRL,Sunrise Energy Metals
SUL,Super Retail Group
SLC,Superloop
SNL,Supply Network
TAH,Tabcorp Holdings
TEA,Tasmea
TNE,Technology One
TLX,Telix Pharmaceuticals
TLS,Telstra Group
A2M,The a2 Milk Company
TLC,The Lottery Corporation
TPG,TPG Telecom
TCL,Transurban Group
TWE,Treasury Wine Estates
TUA,Tuas
VAU,Vault Minerals
VNT,Ventia Services Group
VCX,Vicinity Centres
VGN,Virgin Australia Holdings
VEA,Viva Energy Group
VUL,Vulcan Energy Resources
WGN,Wagners Holding Company
WAM,WAM Capital
WLE,WAM Leaders
SOL,Washington H. Soul Pattinson and Co.
WPR,Waypoint REIT
WEB,WEB Travel Group
WBT,Weebit Nano
WES,Wesfarmers
WAF,West African Resources
WGX,Westgold Resources
WBC,Westpac Banking Corporation
WHC,Whitehaven Coal
WTC,Wisetech Global
WDS,Woodside Energy Group
WOW,Woolworths Group
WOR,Worley
XRO,Xero
YAL,Yancoal Australia
ZIM,Zimplats Holdings
ZIP,Zip Co
