entity_id,acn,abn,entity_kind,created_at,arbn
3661,684147484,,company,2026-08-18 03:38:17.304061+00,
3662,138803620,,company,2026-08-18 03:38:17.304061+00,
3663,120332925,,company,2026-08-18 03:38:17.304061+00,
3664,604406377,,company,2026-08-18 03:38:17.304061+00,
3665,104028042,,company,2026-08-18 03:38:17.304061+00,
3666,616062072,,company,2026-08-18 03:38:17.304061+00,
3667,093391774,,company,2026-08-18 03:38:17.304061+00,
3668,600717539,,company,2026-08-18 03:38:17.304061+00,
3669,650096094,,company,2026-08-18 03:38:17.304061+00,
3670,,,foreign,2026-08-18 03:38:17.304061+00,629412942
3671,,,foreign,2026-08-18 03:38:17.304061+00,697927647
3672,078388155,,company,2026-08-18 03:38:17.304061+00,
3673,103827836,,company,2026-08-18 03:38:17.304061+00,
3674,650899844,,company,2026-08-18 03:38:17.304061+00,
3675,145590110,,company,2026-08-18 03:38:17.304061+00,
3676,161684831,,company,2026-08-18 03:38:17.304061+00,
3677,617506279,,company,2026-08-18 03:38:17.304061+00,
3678,073716793,,company,2026-08-18 03:38:17.304061+00,
3679,,,foreign,2026-08-18 03:38:17.304061+00,692243646
3680,072964179,,company,2026-08-18 03:38:17.304061+00,
3681,168232577,,company,2026-08-18 03:38:17.304061+00,
3682,,,foreign,2026-08-18 03:38:17.304061+00,601582129
3683,127215132,,company,2026-08-18 03:38:17.304061+00,
3684,060156452,,company,2026-08-18 03:38:17.304061+00,
3685,008637643,,company,2026-08-18 03:38:17.304061+00,
3686,,,foreign,2026-08-18 03:38:17.304061+00,158331965
3687,601164505,,company,2026-08-18 03:38:17.304061+00,
3688,106879690,,company,2026-08-18 03:38:17.304061+00,
3689,625744907,,company,2026-08-18 03:38:17.304061+00,
3690,,,foreign,2026-08-18 03:38:17.304061+00,681342334
3691,010892270,,company,2026-08-18 03:38:17.304061+00,
3692,,,foreign,2026-08-18 03:38:17.304061+00,677586935
3693,141335364,,company,2026-08-18 03:38:17.304061+00,
3694,674455442,,company,2026-08-18 03:38:17.304061+00,
3695,612912393,,company,2026-08-18 03:38:17.304061+00,
3696,104555455,,company,2026-08-18 03:38:17.304061+00,
3697,009159077,,company,2026-08-18 03:38:17.304061+00,
3698,008031034,,company,2026-08-18 03:38:17.304061+00,
3699,132090192,,company,2026-08-18 03:38:17.304061+00,
3700,629543193,,company,2026-08-18 03:38:17.304061+00,
3701,080604619,,company,2026-08-18 03:38:17.304061+00,
3702,616795245,,company,2026-08-18 03:38:17.304061+00,
3703,099107623,,company,2026-08-18 03:38:17.304061+00,
3704,139494885,,company,2026-08-18 03:38:17.304061+00,
3705,636138988,,company,2026-08-18 03:38:17.304061+00,
3706,625231941,,company,2026-08-18 03:38:17.304061+00,
3707,124893465,,company,2026-08-18 03:38:17.304061+00,
3708,645711128,,company,2026-08-18 03:38:17.304061+00,
3709,658906159,,company,2026-08-18 03:38:17.304061+00,
3710,146035690,,company,2026-08-18 03:38:17.304061+00,
3711,167595897,,company,2026-08-18 03:38:17.304061+00,
3712,082001152,,company,2026-08-18 03:38:17.304061+00,
3713,113025808,,company,2026-08-18 03:38:17.304061+00,
3714,102320329,,company,2026-08-18 03:38:17.304061+00,
3715,086778476,,company,2026-08-18 03:38:17.304061+00,
3716,123129162,,company,2026-08-18 03:38:17.304061+00,
3717,618616916,,company,2026-08-18 03:38:17.304061+00,
3718,654049699,,company,2026-08-18 03:38:17.304061+00,
3719,008719015,,company,2026-08-18 03:38:17.304061+00,
3720,147375451,,company,2026-08-18 03:38:17.304061+00,
3721,061503375,,company,2026-08-18 03:38:17.304061+00,
3722,070028625,,company,2026-08-18 03:38:17.304061+00,
3723,605352510,,company,2026-08-18 03:38:17.304061+00,
3724,001287510,,company,2026-08-18 03:38:17.304061+00,
3725,009058646,,company,2026-08-18 03:38:17.304061+00,
3726,010195972,,company,2026-08-18 03:38:17.304061+00,
3727,115927681,,company,2026-08-18 03:38:17.304061+00,
3728,003188930,,company,2026-08-18 03:38:17.304061+00,
3729,653383478,,company,2026-08-18 03:38:17.304061+00,
3730,093977336,,company,2026-08-18 03:38:17.304061+00,
3731,096170295,,company,2026-08-18 03:38:17.304061+00,
3732,095907565,,company,2026-08-18 03:38:17.304061+00,
3733,166705595,,company,2026-08-18 03:38:17.304061+00,
3734,108958274,,company,2026-08-18 03:38:17.304061+00,
3735,116296541,,company,2026-08-18 03:38:17.304061+00,
3736,008924570,,company,2026-08-18 03:38:17.304061+00,
3737,066385822,,company,2026-08-18 03:38:17.304061+00,
3738,004147120,,company,2026-08-18 03:38:17.304061+00,
3739,063366487,,company,2026-08-18 03:38:17.304061+00,
3740,,,foreign,2026-08-18 03:38:17.304061+00,609017969
3741,633936526,,company,2026-08-18 03:38:17.304061+00,
3742,075860472,,company,2026-08-18 03:38:17.304061+00,
3743,140575604,,company,2026-08-18 03:38:17.304061+00,
3744,068516665,,company,2026-08-18 03:38:17.304061+00,
3745,115061375,,company,2026-08-18 03:38:17.304061+00,
3746,637578753,,company,2026-08-18 03:38:17.304061+00,
3747,128256888,,company,2026-08-18 03:38:17.304061+00,
3748,073391189,,company,2026-08-18 03:38:17.304061+00,
3749,108208760,,company,2026-08-18 03:38:17.304061+00,
3750,145327617,,company,2026-08-18 03:38:17.304061+00,
3751,057046607,,company,2026-08-18 03:38:17.304061+00,
3752,123668717,,company,2026-08-18 03:38:17.304061+00,
3753,121033396,,company,2026-08-18 03:38:17.304061+00,
3754,113758900,,company,2026-08-18 03:38:17.304061+00,
3755,155473304,,company,2026-08-18 03:38:17.304061+00,
3756,,,foreign,2026-08-18 03:38:17.304061+00,085819156
3757,687262479,,company,2026-08-18 03:38:17.304061+00,
3758,,,foreign,2026-08-18 03:38:17.304061+00,648673714
3759,122058708,,company,2026-08-18 03:38:17.304061+00,
3760,,,other,2026-08-18 03:38:17.304061+00,
3761,147131977,,company,2026-08-18 03:38:17.304061+00,
3762,113452896,,company,2026-08-18 03:38:17.304061+00,
3763,,,other,2026-08-18 03:38:17.304061+00,
3764,,,foreign,2026-08-18 03:38:17.304061+00,000312685
3765,060309104,,company,2026-08-18 03:38:17.304061+00,
3766,064820408,,company,2026-08-18 03:38:17.304061+00,
3767,125140105,,company,2026-08-18 03:38:17.304061+00,
3768,000003725,,company,2026-08-18 03:38:17.304061+00,
3769,122417243,,company,2026-08-18 03:38:17.304061+00,
3770,070859522,,company,2026-08-18 03:38:17.304061+00,
3771,139847555,,company,2026-08-18 03:38:17.304061+00,
3772,602857983,,company,2026-08-18 03:38:17.304061+00,
3773,090987250,,company,2026-08-18 03:38:17.304061+00,
3774,620545664,,company,2026-08-18 03:38:17.304061+00,
3775,143142410,,company,2026-08-18 03:38:17.304061+00,
3776,004201307,,company,2026-08-18 03:38:17.304061+00,
3777,604986914,,company,2026-08-18 03:38:17.304061+00,
3778,000689216,,company,2026-08-18 03:38:17.304061+00,
3779,002818368,,company,2026-08-18 03:38:17.304061+00,
3780,,,foreign,2026-08-18 03:38:17.304061+00,123316781
3781,009657489,,company,2026-08-18 03:38:17.304061+00,
3782,149026308,,company,2026-08-18 03:38:17.304061+00,
3783,691236549,,company,2026-08-18 03:38:17.304061+00,
3784,637802496,,company,2026-08-18 03:38:17.304061+00,
3785,141075201,,company,2026-08-18 03:38:17.304061+00,
3786,124444122,,company,2026-08-18 03:38:17.304061+00,
3787,120973775,,company,2026-08-18 03:38:17.304061+00,
3788,110599650,,company,2026-08-18 03:38:17.304061+00,
3789,,,foreign,2026-08-18 03:38:17.304061+00,646114749
3790,113883560,,company,2026-08-18 03:38:17.304061+00,
3791,,,foreign,2026-08-18 03:38:17.304061+00,630385278
3792,112609846,,company,2026-08-18 03:38:17.304061+00,
3793,073990735,,company,2026-08-18 03:38:17.304061+00,
3794,108476384,,company,2026-08-18 03:38:17.304061+00,
3795,122162396,,company,2026-08-18 03:38:17.304061+00,
3796,079080158,,company,2026-08-18 03:38:17.304061+00,
3797,079354519,,company,2026-08-18 03:38:17.304061+00,
3798,139730500,,company,2026-08-18 03:38:17.304061+00,
3799,124792132,,company,2026-08-18 03:38:17.304061+00,
3800,153103925,,company,2026-08-18 03:38:17.304061+00,
3801,111304119,,company,2026-08-18 03:38:17.304061+00,
3802,078480136,,company,2026-08-18 03:38:17.304061+00,
3803,004085330,,company,2026-08-18 03:38:17.304061+00,
3804,079845855,,company,2026-08-18 03:38:17.304061+00,
3805,145239872,,company,2026-08-18 03:38:17.304061+00,
3806,106304787,,company,2026-08-18 03:38:17.304061+00,
3807,659510791,,company,2026-08-18 03:38:17.304061+00,
3808,134358964,,company,2026-08-18 03:38:17.304061+00,
3809,114061433,,company,2026-08-18 03:38:17.304061+00,
3810,125222924,,company,2026-08-18 03:38:17.304061+00,
3811,004400891,,company,2026-08-18 03:38:17.304061+00,
3812,091344704,,company,2026-08-18 03:38:17.304061+00,
3813,149390394,,company,2026-08-18 03:38:17.304061+00,
3814,009680013,,company,2026-08-18 03:38:17.304061+00,
3815,080277998,,company,2026-08-18 03:38:17.304061+00,
3816,,,other,2026-08-18 03:38:17.304061+00,
3817,138878298,,company,2026-08-18 03:38:17.304061+00,
3818,004160927,,company,2026-08-18 03:38:17.304061+00,
3819,089206986,,company,2026-08-18 03:38:17.304061+00,
3820,091542451,,company,2026-08-18 03:38:17.304061+00,
3821,634457506,,company,2026-08-18 03:38:17.304061+00,
3822,099247408,,company,2026-08-18 03:38:17.304061+00,
3823,153361525,,company,2026-08-18 03:38:17.304061+00,
3824,142485470,,company,2026-08-18 03:38:17.304061+00,
3825,632645302,,company,2026-08-18 03:38:17.304061+00,
3826,123098671,,company,2026-08-18 03:38:17.304061+00,
3827,010474067,,company,2026-08-18 03:38:17.304061+00,
3828,006708756,,company,2026-08-18 03:38:17.304061+00,
3829,001746710,,company,2026-08-18 03:38:17.304061+00,
3830,124780276,,company,2026-08-18 03:38:17.304061+00,
3831,602365186,,company,2026-08-18 03:38:17.304061+00,
3832,007519520,,company,2026-08-18 03:38:17.304061+00,
3833,086839992,,company,2026-08-18 03:38:17.304061+00,
3834,614289342,,company,2026-08-18 03:38:17.304061+00,
3835,622990809,,company,2026-08-18 03:38:17.304061+00,
3836,003254395,,company,2026-08-18 03:38:17.304061+00,
3837,003453503,,company,2026-08-18 03:38:17.304061+00,
3838,149850457,,company,2026-08-18 03:38:17.304061+00,
3839,080933455,,company,2026-08-18 03:38:17.304061+00,
3840,107051749,,company,2026-08-18 03:38:17.304061+00,
3841,,,foreign,2026-08-18 03:38:17.304061+00,638867473
3842,006710774,,company,2026-08-18 03:38:17.304061+00,
3843,646034460,,company,2026-08-18 03:38:17.304061+00,
3844,009250266,,company,2026-08-18 03:38:17.304061+00,
3845,614505261,,company,2026-08-18 03:38:17.304061+00,
3846,094747510,,company,2026-08-18 03:38:17.304061+00,
3847,645578454,,company,2026-08-18 03:38:17.304061+00,
3848,,,other,2026-08-18 03:38:17.304061+00,
3849,136636005,,company,2026-08-18 03:38:17.304061+00,
3850,000375048,,company,2026-08-18 03:38:17.304061+00,
3851,119699982,,company,2026-08-18 03:38:17.304061+00,
3852,164718361,,company,2026-08-18 03:38:17.304061+00,
3853,008624691,,company,2026-08-18 03:38:17.304061+00,
3854,142925684,,company,2026-08-18 03:38:17.304061+00,
3855,168269752,,company,2026-08-18 03:38:17.304061+00,
