entity_id,name,name_norm,name_kind,valid_from,valid_to,source_doc_id,source_load_id
3661,EXULTANT MINING LIMITED,EXULTANT MINING,legal,2025-01-31,,,4
3662,1414 DEGREES LIMITED,1414 DEGREES,legal,2018-09-10,,,4
3662,GNOMON TECHNOLOGIES PTY LTD,GNOMON TECHNOLOGIES,former,2009-08-11,2018-09-09,,4
3662,LATENT HEAT STORAGE PTY LTD,LATENT HEAT STORAGE,former,2009-08-11,2018-09-09,,4
3663,ADALTA LIMITED,ADALTA,legal,2006-06-22,,,4
3664,AURORA ENERGY METALS LIMITED,AURORA ENERGY METALS,legal,2022-05-16,,,4
3664,AURORA URANIUM LIMITED,AURORA URANIUM,former,2015-03-13,2022-05-15,,4
3664,EVE INVESTMENTS LIMITED,EVE INVESTMENTS,former,2015-03-13,2022-05-15,,4
3665,ALGORAE PHARMACEUTICALS LIMITED,ALGORAE PHARMACEUTICALS,legal,2023-09-05,,,4
3665,LIVING CELL TECHNOLOGIES LTD,LIVING CELL TECHNOLOGIES,former,2003-03-17,2023-09-04,,4
3665,WAYMOUTH RESOURCES LTD,WAYMOUTH RESOURCES,former,2003-03-17,2023-09-04,,4
3666,AQUABOTIX LTD,AQUABOTIX,former,2016-11-22,2022-09-13,,4
3666,ONE CLICK GROUP LIMITED,ONE CLICK GROUP,legal,2022-09-14,,,4
3666,UUV AQUABOTIX LTD,UUV AQUABOTIX,former,2016-11-22,2022-09-13,,4
3667,ALTURA MINING LIMITED,ALTURA MINING,former,2000-06-23,2021-12-12,,4
3667,HADDINGTON INTERNATIONAL RESOURCES LIMITED,HADDINGTON INTERNATIONAL RESOURCES,former,2000-06-23,2021-12-12,,4
3667,HADDINGTON RESOURCES LIMITED,HADDINGTON RESOURCES,former,2000-06-23,2021-12-12,,4
3667,MORELLA CORPORATION LIMITED,MORELLA CORPORATION,legal,2021-12-13,,,4
3668,REFFIND LTD,REFFIND,former,2014-07-15,2023-04-23,,4
3668,THRIVE TRIBE TECHNOLOGIES LIMITED,THRIVE TRIBE TECHNOLOGIES,legal,2023-04-24,,,4
3668,WOOBOARD TECHNOLOGIES LIMITED,WOOBOARD TECHNOLOGIES,former,2014-07-15,2023-04-23,,4
3669,29METALS LIMITED,29METALS,legal,2021-05-27,,,4
3670,"LIFE360, INC.",LIFE360,legal,2018-10-18,,,4
3671,AMAERO INC.,AMAERO,legal,2026-06-05,,,4
3672,MARLIN TECHNOLOGIES PTY LTD,MARLIN TECHNOLOGIES,former,1997-05-01,2016-06-30,,4
3672,POINTERRA LIMITED,POINTERRA,legal,2016-07-01,,,4
3672,SOIL SUB TECHNOLOGIES LIMITED,SOIL SUB TECHNOLOGIES,former,1997-05-01,2016-06-30,,4
3672,SOUTHMOON PTY LTD,SOUTHMOON,former,1997-05-01,2016-06-30,,4
3673,3P LEARNING LIMITED,3P LEARNING,legal,2014-07-09,,,4
3673,SCAFFOLD EDUCATION PTY LTD,SCAFFOLD EDUCATION,former,2003-02-21,2014-07-08,,4
3674,49 METALS LIMITED,49 METALS,legal,2026-03-27,,,4
3674,NORMANDY GOLD LIMITED,NORMANDY GOLD,former,2021-06-09,2026-03-26,,4
3675,4DS MEMORY LIMITED,4DS MEMORY,legal,2015-12-08,,,4
3675,FITZROY RESOURCES LTD.,FITZROY RESOURCES,former,2010-08-04,2015-12-07,,4
3676,4DMEDICAL LIMITED,4DMEDICAL,legal,2020-08-07,,,4
3676,4DX LIMITED,4DX,former,2012-12-17,2020-08-06,,4
3677,PENTANET LIMITED,PENTANET,legal,2017-02-20,,,4
3678,5G NETWORKS LIMITED,5G NETWORKS,legal,2023-12-22,,,4
3678,ARQ GROUP LIMITED,ARQ GROUP,former,1996-04-22,2023-12-21,,4
3678,MELBOURNE INFORMATION TECHNOLOGIES AUSTRALIA LTD,MELBOURNE INFORMATION TECHNOLOGIES AUSTRALIA,former,1996-04-22,2023-12-21,,4
3678,MELBOURNE IT LTD,MELBOURNE IT,former,1996-04-22,2023-12-21,,4
3678,WEBCENTRAL GROUP LIMITED,WEBCENTRAL GROUP,former,1996-04-22,2023-12-21,,4
3678,WEBCENTRAL LTD,WEBCENTRAL,former,1996-04-22,2023-12-21,,4
3679,"6K ADDITIVE, INC.",6K ADDITIVE,legal,2025-10-30,,,4
3680,88 ENERGY LIMITED,88 ENERGY,legal,2017-06-16,,,4
3680,BONDSHORE PTY. LIMITED,BONDSHORE,former,1996-02-21,2017-06-15,,4
3680,DIGITAL AND VOICE MEDIA LIMITED,DIGITAL AND VOICE MEDIA,former,1996-02-21,2017-06-15,,4
3680,DVM INTERNATIONAL LIMITED,DVM INTERNATIONAL,former,1996-02-21,2017-06-15,,4
3680,P.O.S. ABILITIES (AUST) PTY LTD,P O S ABILITIES AUST,former,1996-02-21,2017-06-15,,4
3680,P.O.S. MEDIA ONLINE LIMITED,P O S MEDIA ONLINE,former,1996-02-21,2017-06-15,,4
3680,TANGIERS PETROLEUM LIMITED,TANGIERS PETROLEUM,former,1996-02-21,2017-06-15,,4
3681,8COMMON LIMITED,8COMMON,legal,2014-02-25,,,4
3682,8I HOLDINGS LIMITED,8I,legal,2014-09-05,,,4
3683,ATLANTIC LITHIUM LIMITED,ATLANTIC LITHIUM,legal,2022-09-21,,,4
3683,IRONRIDGE RESOURCES LIMITED,IRONRIDGE RESOURCES,former,2007-08-24,2022-09-20,,4
3683,RIDGE EXPLORATION PTY LTD,RIDGE EXPLORATION,former,2007-08-24,2022-09-20,,4
3684,AIC MINES LIMITED,AIC MINES,legal,2020-09-14,,,4
3684,INTREPID MINES LIMITED,INTREPID MINES,former,1993-06-09,2020-09-13,,4
3684,NUSTAR MINING CORPORATION LIMITED,NUSTAR MINING CORPORATION,former,1993-06-09,2020-09-13,,4
3684,TAIPAN RESOURCES N.L.,TAIPAN RESOURCES N L,former,1993-06-09,2020-09-13,,4
3685,APN NEWS & MEDIA LIMITED,APN NEWS MEDIA,former,1988-04-27,2023-05-16,,4
3685,ARN MEDIA LIMITED,ARN MEDIA,legal,2023-05-17,,,4
3685,AUSTRALIAN PROVINCIAL NEWSPAPERS HOLDINGS LIMITED,AUSTRALIAN PROVINCIAL NEWSPAPERS,former,1988-04-27,2023-05-16,,4
3685,ENID PTY. LIMITED,ENID,former,1988-04-27,2023-05-16,,4
3685,HT&E LIMITED,HT E,former,1988-04-27,2023-05-16,,4
3686,A2 CORPORATION LIMITED,A2 CORPORATION,former,2012-05-24,2015-03-29,,4
3686,THE A2 MILK COMPANY LIMITED,THE A2 MILK COMPANY,legal,2015-03-30,,,4
3687,AURORA LABS LTD,AURORA LABS,legal,2014-08-09,,,4
