index_code,entity_id,ticker_as_published,as_of,knowable_at,source_url,source_note
ASX300_PROXY_VAS,3670,360,2026-08-20,2026-08-20 00:00:00+00,owner-supplied:pasted-into-session-2026-08-20,"ASX300 size proxy; provenance open, see reference/README.md"
ASX300_PROXY_VAS,3676,4DX,2026-08-20,2026-08-20 00:00:00+00,owner-supplied:pasted-into-session-2026-08-20,"ASX300 size proxy; provenance open, see reference/README.md"
ASX300_PROXY_VAS,3686,A2M,2026-08-20,2026-08-20 00:00:00+00,owner-supplied:pasted-into-session-2026-08-20,"ASX300 size proxy; provenance open, see reference/README.md"
ASX300_PROXY_VAS,3692,AAI,2026-08-20,2026-08-20 00:00:00+00,owner-supplied:pasted-into-session-2026-08-20,"ASX300 size proxy; provenance open, see reference/README.md"
ASX300_PROXY_VAS,3699,ABB,2026-08-20,2026-08-20 00:00:00+00,owner-supplied:pasted-into-session-2026-08-20,"ASX300 size proxy; provenance open, see reference/README.md"
ASX300_PROXY_VAS,3738,AFI,2026-08-20,2026-08-20 00:00:00+00,owner-supplied:pasted-into-session-2026-08-20,"ASX300 size proxy; provenance open, see reference/README.md"
ASX300_PROXY_VAS,3745,AGL,2026-08-20,2026-08-20 00:00:00+00,owner-supplied:pasted-into-session-2026-08-20,"ASX300 size proxy; provenance open, see reference/README.md"
ASX300_PROXY_VAS,3756,AIA,2026-08-20,2026-08-20 00:00:00+00,owner-supplied:pasted-into-session-2026-08-20,"ASX300 size proxy; provenance open, see reference/README.md"
ASX300_PROXY_VAS,3764,AIZ,2026-08-20,2026-08-20 00:00:00+00,owner-supplied:pasted-into-session-2026-08-20,"ASX300 size proxy; provenance open, see reference/README.md"
ASX300_PROXY_VAS,3776,ALD,2026-08-20,2026-08-20 00:00:00+00,owner-supplied:pasted-into-session-2026-08-20,"ASX300 size proxy; provenance open, see reference/README.md"
ASX300_PROXY_VAS,3778,ALK,2026-08-20,2026-08-20 00:00:00+00,owner-supplied:pasted-into-session-2026-08-20,"ASX300 size proxy; provenance open, see reference/README.md"
