entity_id,as_at,ticker,market_cap_aud,sector,listing_date,source_load_id
3661,2026-08-18,10X,5049000,Materials,2025-12-11,4
3662,2026-08-18,14D,36403280,Capital Goods,2018-09-12,4
3663,2026-08-18,1AD,9636507,"Pharmaceuticals, Biotechnology & Life Sciences",2016-08-22,4
3664,2026-08-18,1AE,8595059,Materials,2022-05-18,4
3665,2026-08-18,1AI,24330852,"Pharmaceuticals, Biotechnology & Life Sciences",2004-09-01,4
3666,2026-08-18,1CG,13072861,Capital Goods,2017-04-28,4
3667,2026-08-18,1MC,12810877,Materials,2001-01-08,4
3668,2026-08-18,1TT,7482428,Software & Services,2015-07-09,4
3669,2026-08-18,29M,560024494,Materials,2021-07-02,4
3670,2026-08-18,360,5984020266,Software & Services,2019-05-10,4
3671,2026-08-18,3DA,200198712,Capital Goods,2019-12-06,4
3672,2026-08-18,3DP,23741627,Software & Services,2008-03-27,4
3673,2026-08-18,3PL,79142891,Consumer Services,2014-07-09,4
3674,2026-08-18,49M,9046032,Materials,2026-03-31,4
3675,2026-08-18,4DS,,Semiconductors & Semiconductor Equipment,2010-12-09,4
3676,2026-08-18,4DX,2225752543,Health Care Equipment & Services,2020-08-07,4
3677,2026-08-18,5GG,9746362,Telecommunication Services,2021-01-29,4
3678,2026-08-18,5GN,15317824,Software & Services,1999-12-14,4
3679,2026-08-18,6KA,207132383,Materials,2025-12-04,4
3680,2026-08-18,88E,25288107,Energy,2000-01-20,4
3681,2026-08-18,8CO,9187891,Software & Services,2014-08-27,4
3682,2026-08-18,8IH,4526091,Financial Services,2014-12-17,4
3683,2026-08-18,A11,240450987,Materials,2022-09-26,4
3684,2026-08-18,A1M,598214866,Materials,1993-11-04,4
3685,2026-08-18,A1N,79827845,Media & Entertainment,1992-05-07,4
3686,2026-08-18,A2M,4737033047,"Food, Beverage & Tobacco",2015-03-31,4
3687,2026-08-18,A3D,30369940,Capital Goods,2016-08-16,4
3688,2026-08-18,A4N,776764569,Materials,2007-10-22,4
3689,2026-08-18,A8G,5325855,Materials,2021-05-13,4
3690,2026-08-18,AA2,84595641,Materials,2025-09-10,4
3691,2026-08-18,AAC,804693607,"Food, Beverage & Tobacco",2001-08-10,4
3692,2026-08-18,AAI,18935502679,Materials,2024-07-24,4
3693,2026-08-18,AAJ,4473801,Materials,2010-07-23,4
3694,2026-08-18,AAL,64575461,Capital Goods,2024-06-28,4
3695,2026-08-18,AAM,58220292,Materials,2017-03-08,4
3696,2026-08-18,AAP,26539467,"Food, Beverage & Tobacco",2004-01-07,4
3697,2026-08-18,AAR,297172525,Materials,1986-11-13,4
3698,2026-08-18,AAU,22953653,Materials,1993-11-25,4
3699,2026-08-18,ABB,1570816704,Telecommunication Services,2020-10-16,4
3700,2026-08-18,ABE,2799454,Financial Services,2021-12-06,4
3701,2026-08-18,ABG,764077276,Equity Real Estate Investment Trusts (REITs),2002-11-14,4
3702,2026-08-18,ABR,4661367,Materials,2017-10-17,4
3703,2026-08-18,ABV,49746408,Automobiles & Components,2002-05-28,4
3704,2026-08-18,ABX,16121471,Materials,2009-12-24,4
3705,2026-08-18,ABY,31945696,Consumer Discretionary Distribution & Retail,2020-10-23,4
3706,2026-08-18,ACE,201583445,Software & Services,2023-01-12,4
3707,2026-08-18,ACF,390583977,Capital Goods,2008-06-27,4
3708,2026-08-18,ACL,503601260,Health Care Equipment & Services,2021-05-14,4
3709,2026-08-18,ACM,4049498,Materials,2023-07-03,4
3710,2026-08-18,ACP,21553405,Materials,2011-07-06,4
