item_id,kind,doc_id,payload,reason,created_at,resolved_at,resolution,resolver_note
278,resolution,,"{""name"": ""ALTERNATIVE INVESTMENT TRUST"", ""ticker"": ""AIQ"", ""entity_id"": 3760, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
279,resolution,,"{""name"": ""AI PRIVATE OPPORTUNITIES TRUST"", ""ticker"": ""AIX"", ""entity_id"": 3763, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
280,resolution,,"{""name"": ""AIMS PROPERTY SECURITIES FUND"", ""ticker"": ""APW"", ""entity_id"": 3816, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
281,resolution,,"{""name"": ""AUSTRALIAN STRATEGIC MATERIALS LIMITED"", ""ticker"": ""ASM"", ""entity_id"": 3848, ""candidate_acns"": [""091489511"", ""168368401""]}","listed company without a resolved ACN: multiple ASIC registrations share this name and none of them is an unambiguous current registered name. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
282,resolution,,"{""name"": ""PT ANTAM (PERSERO) TBK"", ""ticker"": ""ATM"", ""entity_id"": 3860, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
283,resolution,,"{""name"": ""BWP GROUP"", ""ticker"": ""BWP"", ""entity_id"": 4007, ""candidate_acns"": [""648115986""]}","listed company without a resolved ACN: the only ASIC match is ambiguous. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
284,resolution,,"{""name"": ""CD PRIVATE EQUITY FUND I"", ""ticker"": ""CD1"", ""entity_id"": 4041, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
285,resolution,,"{""name"": ""CD PRIVATE EQUITY FUND II"", ""ticker"": ""CD2"", ""entity_id"": 4042, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
286,resolution,,"{""name"": ""CD PRIVATE EQUITY FUND III"", ""ticker"": ""CD3"", ""entity_id"": 4043, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
287,resolution,,"{""name"": ""CARINDALE PROPERTY TRUST"", ""ticker"": ""CDP"", ""entity_id"": 4048, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
288,resolution,,"{""name"": ""CHARTER HALL GROUP"", ""ticker"": ""CHC"", ""entity_id"": 4060, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
289,resolution,,"{""name"": ""CHAMPION IRON LIMITED"", ""ticker"": ""CIA"", ""entity_id"": 4067, ""candidate_acns"": [""119770142"", ""638682283""]}","listed company without a resolved ACN: multiple ASIC registrations share this name and none of them is an unambiguous current registered name. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
290,resolution,,"{""name"": ""CENTURIA INDUSTRIAL REIT"", ""ticker"": ""CIP"", ""entity_id"": 4069, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
291,resolution,,"{""name"": ""CHARTER HALL LONG WALE REIT"", ""ticker"": ""CLW"", ""entity_id"": 4078, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
292,resolution,,"{""name"": ""CROMWELL PROPERTY GROUP"", ""ticker"": ""CMW"", ""entity_id"": 4089, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
293,resolution,,"{""name"": ""CENTURIA CAPITAL GROUP"", ""ticker"": ""CNI"", ""entity_id"": 4093, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
294,resolution,,"{""name"": ""CENTURIA OFFICE REIT"", ""ticker"": ""COF"", ""entity_id"": 4099, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
295,resolution,,"{""name"": ""CHARTER HALL SOCIAL INFRASTRUCTURE REIT"", ""ticker"": ""CQE"", ""entity_id"": 4113, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
296,resolution,,"{""name"": ""CHARTER HALL RETAIL REIT"", ""ticker"": ""CQR"", ""entity_id"": 4114, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
297,resolution,,"{""name"": ""DIGICO INFRASTRUCTURE REIT"", ""ticker"": ""DGT"", ""entity_id"": 4185, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
298,resolution,,"{""name"": ""DOMINION INCOME TRUST 1"", ""ticker"": ""DN1"", ""entity_id"": 4193, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
299,resolution,,"{""name"": ""DEXUS CONVENIENCE RETAIL REIT"", ""ticker"": ""DXC"", ""entity_id"": 4216, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
300,resolution,,"{""name"": ""DEXUS INDUSTRIA REIT."", ""ticker"": ""DXI"", ""entity_id"": 4217, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
301,resolution,,"{""name"": ""DEXUS"", ""ticker"": ""DXS"", ""entity_id"": 4219, ""candidate_acns"": [""110366946""]}","listed company without a resolved ACN: the only ASIC match is ambiguous. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
302,resolution,,"{""name"": ""FLETCHER BUILDING LIMITED"", ""ticker"": ""FBU"", ""entity_id"": 4313, ""candidate_acns"": [""096046936"", ""127142125""]}","listed company without a resolved ACN: multiple ASIC registrations share this name and none of them is an unambiguous current registered name. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
303,resolution,,"{""name"": ""FINEOS CORPORATION HOLDINGS PLC"", ""ticker"": ""FCL"", ""entity_id"": 4315, ""candidate_acns"": []}","listed company without a resolved ACN: no exact ASIC registration match. Confirm the ACN, or set entity_kind='foreign' if incorporated overseas.",2026-08-18 03:38:17.304061+00,,,
