signal_version,kind,natural_key,first_seen_at,backfilled
2,cluster,4025:2026-07-13,2026-08-24 12:07:55.031507+00,t
2,cluster,4072:2026-07-01,2026-08-24 12:07:55.031507+00,t
2,cluster,4274:2026-08-10,2026-08-24 12:07:55.031507+00,f
2,cluster,4430:2026-08-12,2026-08-24 12:07:55.031507+00,t
2,cluster,4620:2026-07-16,2026-08-24 12:07:55.031507+00,t
2,cluster,4688:2026-07-02,2026-08-24 12:07:55.031507+00,t
2,cluster,4741:2026-07-13,2026-08-24 12:07:55.031507+00,t
2,cluster,4828:2026-07-07,2026-08-24 12:07:55.031507+00,t
2,cluster,5031:2026-08-19,2026-08-24 12:07:55.031507+00,t
2,cluster,5053:2026-06-30,2026-08-24 12:07:55.031507+00,t
2,cluster,5221:2026-08-19,2026-08-24 12:07:55.031507+00,t
2,cluster,5266:2026-07-01,2026-08-24 12:07:55.031507+00,t
2,cluster,5450:2026-07-31,2026-08-24 12:07:55.031507+00,t
2,conviction,1067,2026-08-24 12:07:55.031507+00,t
2,conviction,1073,2026-08-24 12:07:55.031507+00,t
2,conviction,1099,2026-08-24 12:07:55.031507+00,t
2,conviction,1134,2026-08-24 12:07:55.031507+00,t
2,conviction,1145,2026-08-24 12:07:55.031507+00,t
2,conviction,1150,2026-08-24 12:07:55.031507+00,t
2,conviction,1168,2026-08-24 12:07:55.031507+00,t
2,conviction,1193,2026-08-24 12:07:55.031507+00,t
2,conviction,1201,2026-08-24 12:07:55.031507+00,t
2,conviction,1215,2026-08-24 12:07:55.031507+00,t
2,conviction,1227,2026-08-24 12:07:55.031507+00,t
2,conviction,1269,2026-08-24 12:07:55.031507+00,t
2,conviction,1299,2026-08-24 12:07:55.031507+00,t
2,conviction,1304,2026-08-24 12:07:55.031507+00,t
2,conviction,1338,2026-08-24 12:07:55.031507+00,t
2,conviction,1351,2026-08-24 12:07:55.031507+00,t
2,conviction,1355,2026-08-24 12:07:55.031507+00,t
2,conviction,1374,2026-08-24 12:07:55.031507+00,t
2,conviction,1393,2026-08-24 12:07:55.031507+00,t
2,conviction,1399,2026-08-24 12:07:55.031507+00,t
2,conviction,1416,2026-08-24 12:07:55.031507+00,t
2,conviction,1461,2026-08-24 12:07:55.031507+00,t
2,conviction,1464,2026-08-24 12:07:55.031507+00,t
2,conviction,1471,2026-08-24 12:07:55.031507+00,f
2,conviction,1483,2026-08-25 22:15:22.799188+00,f
