entity_id,listed_from,listed_to,delist_reason,source_doc_id,source_load_id
3661,2025-12-11,,,,4
3662,2018-09-12,,,,4
3663,2016-08-22,,,,4
3664,2022-05-18,,,,4
3665,2004-09-01,,,,4
3666,2017-04-28,,,,4
3667,2001-01-08,,,,4
3668,2015-07-09,,,,4
3669,2021-07-02,,,,4
3670,2019-05-10,,,,4
3671,2019-12-06,,,,4
3672,2008-03-27,,,,4
3673,2014-07-09,,,,4
3674,2026-03-31,,,,4
3675,2010-12-09,,,,4
3676,2020-08-07,,,,4
3677,2021-01-29,,,,4
3678,1999-12-14,,,,4
3679,2025-12-04,,,,4
3680,2000-01-20,,,,4
3681,2014-08-27,,,,4
3682,2014-12-17,,,,4
3683,2022-09-26,,,,4
3684,1993-11-04,,,,4
3685,1992-05-07,,,,4
3686,2015-03-31,,,,4
3687,2016-08-16,,,,4
3688,2007-10-22,,,,4
3689,2021-05-13,,,,4
3690,2025-09-10,,,,4
3691,2001-08-10,,,,4
3692,2024-07-24,,,,4
3693,2010-07-23,,,,4
3694,2024-06-28,,,,4
3695,2017-03-08,,,,4
3696,2004-01-07,,,,4
3697,1986-11-13,,,,4
3698,1993-11-25,,,,4
3699,2020-10-16,,,,4
3700,2021-12-06,,,,4
3701,2002-11-14,,,,4
3702,2017-10-17,,,,4
3703,2002-05-28,,,,4
3704,2009-12-24,,,,4
3705,2020-10-23,,,,4
3706,2023-01-12,,,,4
3707,2008-06-27,,,,4
3708,2021-05-14,,,,4
3709,2023-07-03,,,,4
3710,2011-07-06,,,,4
3711,2014-05-01,,,,4
3712,2004-09-29,,,,4
3713,2005-08-26,,,,4
3714,2003-12-05,,,,4
3715,2007-10-16,,,,4
3716,2016-06-23,,,,4
3717,2017-06-30,,,,4
3718,2023-01-17,,,,4
3719,1992-02-06,,,,4
3720,2015-06-17,,,,4
3721,1996-09-17,,,,4
3722,2000-04-07,,,,4
3723,2015-08-26,,,,4
3724,1987-12-17,,,,4
3725,1987-01-29,,,,4
3726,1983-12-01,,,,4
3727,2006-05-30,,,,4
3728,2002-12-17,,,,4
3729,2022-05-03,,,,4
3730,2000-09-12,,,,4
3731,2002-03-13,,,,4
3732,2025-12-24,,,,4
3733,2015-04-01,,,,4
3734,2004-11-22,,,,4
3735,2006-10-10,,,,4
3736,1985-05-29,,,,4
3737,2015-05-22,,,,4
3738,1962-06-30,,,,4
3739,2003-09-19,,,,4
3740,2015-12-22,,,,4
3741,2021-01-20,,,,4
3742,1997-04-18,,,,4
3743,2011-02-03,,,,4
3744,2001-12-17,,,,4
3745,2006-10-12,,,,4
3746,2021-06-11,,,,4
3747,2008-02-13,,,,4
3748,1997-04-03,,,,4
3749,2004-09-24,,,,4
3750,2011-05-26,,,,4
3751,2006-06-30,,,,4
3752,2011-05-09,,,,4
3753,2022-09-30,,,,4
3754,2006-11-22,,,,4
3755,2020-11-10,,,,4
3756,1999-02-22,,,,4
3757,2025-10-31,,,,4
3758,2021-08-02,,,,4
3759,2020-09-15,,,,4
3760,2005-05-08,,,,4
3761,2011-02-02,,,,4
3762,2006-04-11,,,,4
3763,2026-07-02,,,,4
3764,1997-10-01,,,,4
3765,1999-08-10,,,,4
3766,1999-12-22,,,,4
3767,2011-03-31,,,,4
3768,1977-06-01,,,,4
3769,2007-02-06,,,,4
3770,2007-10-29,,,,4
3771,2020-12-15,,,,4
3772,2020-04-20,,,,4
3773,2002-01-24,,,,4
3774,2021-04-30,,,,4
3775,2011-06-24,,,,4
3776,1980-12-31,,,,4
3777,2015-07-03,,,,4
3778,1980-10-07,,,,4
3779,1996-07-09,,,,4
3780,2007-04-18,,,,4
3781,1952-07-18,,,,4
3782,2012-02-01,,,,4
3783,2026-07-31,,,,4
3784,2021-10-20,,,,4
3785,2010-01-25,,,,4
3786,2007-11-26,,,,4
3787,2007-03-21,,,,4
3788,2021-10-18,,,,4
3789,2021-06-25,,,,4
3790,2006-08-31,,,,4
3791,1969-08-28,,,,4
3792,2005-10-28,,,,4
3793,2000-02-10,,,,4
3794,2007-05-08,,,,4
3795,2007-10-09,,,,4
3796,2004-12-10,,,,4
3797,1998-06-15,,,,4
3798,2018-12-28,,,,4
3799,2007-08-10,,,,4
3800,2019-12-10,,,,4
3801,2005-12-09,,,,4
3802,2004-03-09,,,,4
3803,1985-08-22,,,,4
3804,2005-02-24,,,,4
3805,2014-10-16,,,,4
3806,2004-06-15,,,,4
3807,1969-09-30,,,,4
3808,2009-03-31,,,,4
3809,2005-10-11,,,,4
3810,2007-10-31,,,,4
3811,1962-06-30,,,,4
3812,2000-06-13,,,,4
3813,2011-12-20,,,,4
3814,1957-04-17,,,,4
3815,2004-09-30,,,,4
3816,2004-12-17,,,,4
3817,2015-01-07,,,,4
3818,1991-04-11,,,,4
3819,1999-12-17,,,,4
3820,2003-11-25,,,,4
3821,2021-07-27,,,,4
3822,2004-09-09,,,,4
3823,2011-12-20,,,,4
3824,2021-11-03,,,,4
3825,2021-07-01,,,,4
3826,2018-09-21,,,,4
3827,1982-10-12,,,,4
3828,1987-06-26,,,,4
3829,2000-04-14,,,,4
3830,2008-04-03,,,,4
3831,2013-06-13,,,,4
3832,1963-03-31,,,,4
3833,2005-12-21,,,,4
3834,2017-02-09,,,,4
3835,2018-09-13,,,,4
3836,1987-08-20,,,,4
3837,2011-02-17,,,,4
3838,2021-03-23,,,,4
3839,2003-11-05,,,,4
3840,2007-03-16,,,,4
3841,2020-07-24,,,,4
3842,1987-08-13,,,,4
3843,2021-07-07,,,,4
3844,1998-12-08,,,,4
3845,2016-11-16,,,,4
3846,2014-08-21,,,,4
3847,2021-09-30,,,,4
3848,2020-07-30,,,,4
3849,2010-07-08,,,,4
3850,2000-04-27,,,,4
3851,2007-10-22,,,,4
3852,2013-12-02,,,,4
3853,1998-10-14,,,,4
3854,2020-04-16,,,,4
3855,2019-10-03,,,,4
3856,2021-12-22,,,,4
3857,2010-01-27,,,,4
3858,2016-05-16,,,,4
3859,2000-03-28,,,,4
3860,1999-08-09,,,,4
3861,1993-12-31,,,,4
3862,1983-11-11,,,,4
3863,2016-07-25,,,,4
3864,2021-09-15,,,,4
3865,2021-10-20,,,,4
3866,2013-12-23,,,,4
3867,2007-12-18,,,,4
3868,2021-05-18,,,,4
3869,2005-11-16,,,,4
3870,2009-12-16,,,,4
3871,2021-11-02,,,,4
3872,2023-05-25,,,,4
3873,1974-01-01,,,,4
3874,2007-05-24,,,,4
3875,2001-03-15,,,,4
3876,1990-08-23,,,,4
3877,2001-09-28,,,,4
3878,2012-12-18,,,,4
3879,2015-05-11,,,,4
3880,2021-12-17,,,,4
3881,1993-08-09,,,,4
3882,1992-03-26,,,,4
3883,2020-06-24,,,,4
3884,2007-02-21,,,,4
3885,2007-12-20,,,,4
3886,2004-03-24,,,,4
3887,2013-01-09,,,,4
3888,2021-12-13,,,,4
3889,2021-02-12,,,,4
3890,2004-07-07,,,,4
3891,2018-02-14,,,,4
3892,2007-08-14,,,,4
3893,1997-01-31,,,,4
3894,2024-07-23,,,,4
3895,1980-08-21,,,,4
3896,2006-07-20,,,,4
3897,2026-07-09,,,,4
3898,2021-11-26,,,,4
3899,2011-09-19,,,,4
3900,2011-07-06,,,,4
3901,2017-09-29,,,,4
3902,2009-12-24,,,,4
3903,2010-11-22,,,,4
3904,2011-04-20,,,,4
3905,2022-01-17,,,,4
3906,2026-01-30,,,,4
3907,2014-04-24,,,,4
3908,2004-09-30,,,,4
3909,2024-04-04,,,,4
3910,2012-05-22,,,,4
3911,1989-05-12,,,,4
3912,2015-10-14,,,,4
3913,2021-07-02,,,,4
3914,2018-01-30,,,,4
3915,2021-05-05,,,,4
3916,1986-11-06,,,,4
3917,2006-12-15,,,,4
3918,2011-01-11,,,,4
3919,2005-08-12,,,,4
3920,2006-10-20,,,,4
3921,2013-01-04,,,,4
3922,2021-07-21,,,,4
3923,1986-11-07,,,,4
3924,1985-12-19,,,,4
3925,1999-12-17,,,,4
3926,2015-12-11,,,,4
3927,2021-10-08,,,,4
3928,2007-12-12,,,,4
3929,2021-05-25,,,,4
3930,2011-08-19,,,,4
3931,2021-06-28,,,,4
3932,2022-10-06,,,,4
3933,2005-12-20,,,,4
3934,2017-07-20,,,,4
3935,2017-11-29,,,,4
3936,2017-05-12,,,,4
3937,2025-12-02,,,,4
3938,2022-07-28,,,,4
3939,1885-08-13,,,,4
3940,2022-06-28,,,,4
3941,2021-11-30,,,,4
3942,2003-06-23,,,,4
3943,2001-01-24,,,,4
3944,2023-09-12,,,,4
3945,2003-12-12,,,,4
3946,2003-12-10,,,,4
3947,2003-09-16,,,,4
3948,2006-09-22,,,,4
3949,2000-12-14,,,,4
3950,1994-10-13,,,,4
3951,2014-04-15,,,,4
3952,1996-09-12,,,,4
3953,2025-07-14,,,,4
3954,2020-11-04,,,,4
3955,2025-12-12,,,,4
3956,2015-06-19,,,,4
3957,2004-07-15,,,,4
3958,2021-07-14,,,,4
3959,2005-04-28,,,,4
3960,2021-09-03,,,,4
3961,2019-06-06,,,,4
3962,1994-11-24,,,,4
3963,2010-12-20,,,,4
3964,2020-12-23,,,,4
3965,2012-10-11,,,,4
3966,1970-12-31,,,,4
3967,2007-07-25,,,,4
3968,2003-10-14,,,,4
3969,1971-08-24,,,,4
3970,1985-01-24,,,,4
3971,2000-06-13,,,,4
3972,2025-11-25,,,,4
3973,2004-08-06,,,,4
3974,2020-12-30,,,,4
3975,1996-12-13,,,,4
3976,1972-06-30,,,,4
3977,2023-12-21,,,,4
3978,1999-05-25,,,,4
3979,2017-05-01,,,,4
3980,2005-10-31,,,,4
3981,2013-06-21,,,,4
3982,2011-11-09,,,,4
3983,2008-09-01,,,,4
3984,2011-07-01,,,,4
3985,1999-11-15,,,,4
3986,2002-07-15,,,,4
3987,2022-10-04,,,,4
3988,2026-04-16,,,,4
3989,2026-06-10,,,,4
3990,2017-01-23,,,,4
3991,2000-08-29,,,,4
3992,2022-07-14,,,,4
3993,2014-11-21,,,,4
3994,1984-08-30,,,,4
3995,2007-07-04,,,,4
3996,2021-07-06,,,,4
3997,2003-12-05,,,,4
3998,1993-10-05,,,,4
3999,2021-07-07,,,,4
4000,2022-10-13,,,,4
4001,2007-10-23,,,,4
4002,2002-02-05,,,,4
4003,2022-05-25,,,,4
4004,2016-11-16,,,,4
4005,2011-10-21,,,,4
4006,2024-07-30,,,,4
4007,1998-09-16,,,,4
4008,2006-11-27,,,,4
4009,2021-12-01,,,,4
4010,2021-11-03,,,,4
4011,2022-05-06,,,,4
4012,2010-10-21,,,,4
4013,1986-11-20,,,,4
4014,2005-05-20,,,,4
4015,2002-06-25,,,,4
4016,2004-02-03,,,,4
4017,2017-05-04,,,,4
4018,2005-07-25,,,,4
4019,2009-09-10,,,,4
4020,2014-12-19,,,,4
4021,2007-03-15,,,,4
4022,2010-06-15,,,,4
4023,2003-10-31,,,,4
4024,1991-09-12,,,,4
4025,2020-01-31,,,,4
4026,2020-12-07,,,,4
4027,2021-08-11,,,,4
4028,2019-03-07,,,,4
4029,2006-07-31,,,,4
4030,2023-10-27,,,,4
4031,2016-06-30,,,,4
4032,1993-10-26,,,,4
4033,2017-12-21,,,,4
4034,2024-11-25,,,,4
4035,1994-01-20,,,,4
4036,2018-12-20,,,,4
4037,2000-09-04,,,,4
4038,2020-10-27,,,,4
4039,1997-02-07,,,,4
4040,1998-05-28,,,,4
4041,2012-08-14,,,,4
4042,2013-04-09,,,,4
4043,2016-07-27,,,,4
4044,2003-11-27,,,,4
4045,2005-03-07,,,,4
4046,2006-12-05,,,,4
4047,2021-11-19,,,,4
4048,1996-11-28,,,,4
4049,2021-06-23,,,,4
4050,2006-05-02,,,,4
4051,2018-11-30,,,,4
4052,2007-11-07,,,,4
4053,2015-09-24,,,,4
4054,2001-12-18,,,,4
4055,2018-01-23,,,,4
4056,2003-12-23,,,,4
4057,2000-09-08,,,,4
4058,2023-10-18,,,,4
4059,2004-02-13,,,,4
4060,2005-06-10,,,,4
4061,2025-12-19,,,,4
4062,2021-06-28,,,,4
4063,2021-01-18,,,,4
4064,2006-03-24,,,,4
4065,2021-07-09,,,,4
4066,2023-07-05,,,,4
4067,2007-06-08,,,,4
4068,1970-06-30,,,,4
4069,2012-12-13,,,,4
4070,2000-12-15,,,,4
4071,2000-04-17,,,,4
4072,2011-08-04,,,,4
4073,1996-09-09,,,,4
4074,1988-03-24,,,,4
4075,2021-12-02,,,,4
4076,2020-12-09,,,,4
4077,1999-11-30,,,,4
4078,2016-11-08,,,,4
4079,1987-12-02,,,,4
4080,2013-05-24,,,,4
4081,2025-11-05,,,,4
4082,2013-09-19,,,,4
4083,2006-08-10,,,,4
4084,2022-09-27,,,,4
4085,1984-08-16,,,,4
4086,2008-07-07,,,,4
4087,2022-01-31,,,,4
4088,2000-12-21,,,,4
4089,1973-02-22,,,,4
4090,2022-01-18,,,,4
4091,2016-08-30,,,,4
4092,2005-05-25,,,,4
4093,2002-03-26,,,,4
4094,2007-06-18,,,,4
4095,2021-07-02,,,,4
4096,2011-11-21,,,,4
4097,2017-02-02,,,,4
4098,2020-10-28,,,,4
4099,2014-12-10,,,,4
4100,2003-01-28,,,,4
4101,1995-12-04,,,,4
4102,2004-04-16,,,,4
4103,2018-11-21,,,,4
4104,2020-01-24,,,,4
4105,2023-08-22,,,,4
4106,2008-01-31,,,,4
4107,2013-09-02,,,,4
4108,2021-11-19,,,,4
4109,2020-11-25,,,,4
4110,2021-09-10,,,,4
4111,1994-05-27,,,,4
4112,2018-05-25,,,,4
4113,2003-05-22,,,,4
4114,1995-11-15,,,,4
4115,2005-11-09,,,,4
4116,2018-07-30,,,,4
4117,1998-12-17,,,,4
4118,2007-03-16,,,,4
4119,2022-10-27,,,,4
4120,2006-09-22,,,,4
4121,2018-10-23,,,,4
4122,2010-12-03,,,,4
4123,2018-12-05,,,,4
4124,2024-02-02,,,,4
4125,1994-06-08,,,,4
4126,2020-02-14,,,,4
4127,2020-10-23,,,,4
4128,1987-10-08,,,,4
4129,2010-12-15,,,,4
4130,2002-05-09,,,,4
4131,1989-01-12,,,,4
4132,2010-02-18,,,,4
4133,1993-12-23,,,,4
4134,2006-03-07,,,,4
4135,2022-01-10,,,,4
4136,2026-07-23,,,,4
4137,2020-12-18,,,,4
4138,2021-08-25,,,,4
4139,1995-12-11,,,,4
4140,2005-10-13,,,,4
4141,1988-11-23,,,,4
4142,2010-12-22,,,,4
4143,2001-02-13,,,,4
4144,2023-08-23,,,,4
4145,1985-06-27,,,,4
4146,2018-06-22,,,,4
4147,1984-08-16,,,,4
4148,2022-06-17,,,,4
4149,2006-11-03,,,,4
4150,2003-12-11,,,,4
4151,1994-08-31,,,,4
4152,2005-05-03,,,,4
4153,2018-07-20,,,,4
4154,2011-02-11,,,,4
4155,2005-01-28,,,,4
4156,1974-01-01,,,,4
4157,2018-01-15,,,,4
4158,2020-12-14,,,,4
4159,2007-01-18,,,,4
4160,1966-01-27,,,,4
4161,2006-07-26,,,,4
4162,1985-04-26,,,,4
4163,2007-12-20,,,,4
4164,2007-11-21,,,,4
4165,1991-04-18,,,,4
4166,2005-06-30,,,,4
4167,2006-08-29,,,,4
4168,2024-05-13,,,,4
4169,2011-09-22,,,,4
4170,2020-12-14,,,,4
4171,2021-09-28,,,,4
4172,2018-02-08,,,,4
4173,2020-12-08,,,,4
4174,2021-10-12,,,,4
4175,1989-02-06,,,,4
4176,2011-01-24,,,,4
4177,2005-01-12,,,,4
4178,2021-04-12,,,,4
4179,2017-04-07,,,,4
4180,2022-12-16,,,,4
4181,2000-10-03,,,,4
4182,1987-09-04,,,,4
4183,2021-05-24,,,,4
4184,2003-08-21,,,,4
4185,2024-12-13,,,,4
4186,1995-06-28,,,,4
4187,2014-08-04,,,,4
4188,2017-11-03,,,,4
4189,2026-06-23,,,,4
4190,2020-12-18,,,,4
4191,2013-10-22,,,,4
4192,2005-05-16,,,,4
4193,2025-03-04,,,,4
4194,2003-07-28,,,,4
4195,2020-12-04,,,,4
4196,1990-12-20,,,,4
4197,2025-09-18,,,,4
4198,2006-10-31,,,,4
4199,2016-06-22,,,,4
4200,2020-10-23,,,,4
4201,2005-06-22,,,,4
4202,2020-11-02,,,,4
4203,2025-10-21,,,,4
4204,1997-12-23,,,,4
4205,2007-05-10,,,,4
4206,2011-06-23,,,,4
4207,2007-12-13,,,,4
4208,2000-06-30,,,,4
4209,2020-08-12,,,,4
4210,2021-11-10,,,,4
4211,2020-11-04,,,,4
4212,2013-12-11,,,,4
4213,2007-04-27,,,,4
4214,2017-11-15,,,,4
4215,1993-02-04,,,,4
4216,2017-07-27,,,,4
4217,2013-12-03,,,,4
4218,2018-04-11,,,,4
4219,2004-10-06,,,,4
4220,1985-12-19,,,,4
4221,2023-01-16,,,,4
4222,2006-11-09,,,,4
4223,2021-10-07,,,,4
4224,2011-10-13,,,,4
4225,2013-12-06,,,,4
